"Estimate","SE","Lower","Upper","shrinkage"
-0.502170689652407,-0.634178796262671,-0.374160928264869,-0.929054193228259,-0.975541188030286
-0.501370382185124,-0.632192865394135,-0.374025717675302,-0.923071279880775,-0.968875111360392
-0.500507949850029,-0.629960479806735,-0.373851557093306,-0.916324965408334,-0.961362125583874
-0.499636928636176,-0.627794859745066,-0.37360898017607,-0.909336876933811,-0.953590382087022
-0.498646583307682,-0.625337100600076,-0.373414419316718,-0.899448701108461,-0.942568239621468
-0.497516264437601,-0.622533904772199,-0.373181614085141,-0.890531873081092,-0.932638517336874
-0.496266745897793,-0.619513754770775,-0.372890215201862,-0.879997007146775,-0.920909717415607
-0.494970419264343,-0.616486017375304,-0.372536139679741,-0.869241498652561,-0.908944816122159
-0.493578063324513,-0.61315569977132,-0.372184613678052,-0.856506472425188,-0.89476638482707
-0.492062336699865,-0.609492401328443,-0.371740623695912,-0.844371300240566,-0.881274193633437
-0.490470958103947,-0.605788719134134,-0.371292225480411,-0.832480749881324,-0.868056233413121
-0.488658294067563,-0.601625425125672,-0.370806639150598,-0.818407679534598,-0.852404492637924
-0.48668796979505,-0.596857314917797,-0.370315910292159,-0.804197621886012,-0.836600467951686
-0.484357848092432,-0.591422826797719,-0.369739716506208,-0.790128305286992,-0.820968214173866
-0.482018082034395,-0.586091863681552,-0.369023637447022,-0.776507582065556,-0.805861093655971
-0.479341116404805,-0.579862342377685,-0.368372127957861,-0.761081789744394,-0.788725010525275
-0.476353988208166,-0.573035838665776,-0.367487608942651,-0.740289850022888,-0.765628898617725
-0.473311860332906,-0.566302690647562,-0.366510110894636,-0.7180489178665,-0.74092850446778
-0.469786240719805,-0.558186261959968,-0.365492846386489,-0.692183737982449,-0.712182914028856
-0.466178889786247,-0.54980567610444,-0.364442108718799,-0.668796535227016,-0.686213349394665
-0.462035161058365,-0.540110174945821,-0.36329132928349,-0.641731889711019,-0.656149288111836
-0.457675327710169,-0.529842069361908,-0.362010322577994,-0.61303103097035,-0.624277917608163
-0.452771319248962,-0.518977447607056,-0.360623179546738,-0.588580268186681,-0.597176062957639
-0.4472163865056,-0.506595535004866,-0.359039901950789,-0.554362073569131,-0.559187323127125
-0.441272062429991,-0.493238713832488,-0.357315909401686,-0.524283132063381,-0.525850012166744
-0.435201060756015,-0.479132482759647,-0.355410209182966,-0.492054630476043,-0.490140157963988
-0.428012235003176,-0.463299272593714,-0.353182091833532,-0.457546363272754,-0.4519359359908
-0.419861775290587,-0.445011954776013,-0.35048671572639,-0.418544525201792,-0.40878675567187
-0.411934891431526,-0.426911829214063,-0.347625321735799,-0.377926112086206,-0.363858261391811
-0.403021476759168,-0.406754962953184,-0.344592405551733,-0.338642840397274,-0.320451399449449
-0.393115455861018,-0.384784755781073,-0.341014534528676,-0.293015141272209,-0.270043433984753
-0.38297299665971,-0.362487096685148,-0.337069432642491,-0.247656997136182,-0.219998802281963
-0.37152475600675,-0.337492595240772,-0.333844116334569,-0.198515084505569,-0.165602453226814
-0.359460087185416,-0.311152211904834,-0.329437049357361,-0.147248090653147,-0.109029688862334
-0.345556609672135,-0.280741551201317,-0.324288790961575,-0.0837626543156404,-0.0389217908835492
-0.331693139221323,-0.249896852157571,-0.31885817828333,-0.0216700668666506,0.0295812545627026
-0.31579825719449,-0.215902948151986,-0.312253417532844,0.0425790036355052,0.10029710551239
-0.298533704787648,-0.178633079661713,-0.305761998757495,0.108805460564475,0.173242800259449
-0.279655081560826,-0.138160708939915,-0.298487560912036,0.171108227510433,0.241669674643324
-0.260846361521663,-0.096753166656075,-0.290505079291668,0.248679404467998,0.327047138471738
-0.239469973564031,-0.0506120616815764,-0.280370308373216,0.325876863054331,0.411643579387387
-0.215450313208016,0.000584624800594158,-0.272929448220977,0.394774579591261,0.487415519551334
-0.190129420593597,0.0561794610311994,-0.261111910215662,0.465646530767349,0.564656074042077
-0.162929612445796,0.114024012378763,-0.250100070944663,0.53807187052615,0.643769280473347
-0.132783582870827,0.178616766829981,-0.236954634187922,0.629750284366487,0.74404736170926
-0.100559995458589,0.246211536700239,-0.219308423979613,0.726609314726205,0.849357848945672
-0.0669754678056372,0.314299009417209,-0.205431842732811,0.812221296924294,0.942730279803041
-0.0296771062234339,0.392787874369851,-0.188574417258118,0.900055919348063,1.03808459386429
0.00913868057983977,0.475117059471938,-0.168713422118369,0.967036743479845,1.10961751027819
0.0509735067343022,0.558064701758657,-0.151243539518823,1.03952285214627,1.18770884003322
0.0935267473689356,0.644805210851075,-0.127523417135761,1.10241414713379,1.25401842450965
0.142497425123387,0.741701004975644,-0.103864876400699,1.1757057541234,1.33196594432163
0.19323421345043,0.837572567781317,-0.0789026066509094,1.23808881124081,1.39749770263468
0.243746956754323,0.937697378245263,-0.0529930607388076,1.30138638528979,1.46389203438388
0.300901331553663,1.04803355498488,-0.0246916334386572,1.36393729250547,1.52904795507846
0.360832398982076,1.15627976283107,0.00569842638579605,1.42916645124019,1.59684569584925
0.423494845457285,1.26806865490083,0.0402383603168718,1.48307895357385,1.65129111579455
0.493172772064231,1.39466257772929,0.080929707165798,1.53831986718388,1.7061836274517
0.56430102615998,1.51708222387519,0.130910102066467,1.58897060211412,1.75437676407087
0.641632193937348,1.64352133487225,0.171972977864708,1.64785148134181,1.81327605858653
0.718171037006496,1.76623559365356,0.21138220399207,1.7012056882097,1.86627559525449
0.80262439782891,1.89359333781912,0.262943900654744,1.74238504253761,1.90361288352196
0.886467085174971,2.01667750239536,0.317350804787283,1.77732688235067,1.93349649569496
0.973524865421858,2.13616891904876,0.35970819379888,1.80751961224973,1.96010400127382
1.05791983942838,2.24956444999489,0.396764620744118,1.84517608665114,1.99595052416665
1.15448214847654,2.35195669425385,0.455142512987321,1.87653212639536,2.02115509634447
1.24244712816746,2.44949465130806,0.515984422546511,1.91078785668476,2.04918570987907
1.34701059261035,2.53726534516885,0.584850586510326,1.93792162189686,2.06789985067715
