"Estimate","Est.Error","Q2.5","Q97.5","shrinkage","Predictor"
-2.80548769502007,0.543178126664893,-2.47061660857669,-2.39641304381957,0.573013604438539,"Intercept"
-0.348608103238598,1.58057541087703,-1.00315763577126,0.551980389706931,1.55242487811971,"age01M04years"
-0.860709806804008,1.63679224920676,-1.36788445873933,0.12071921223524,1.5699568085693,"age05M09years"
-0.0841138422258645,1.57284368139195,-0.734024858147602,0.890291096069744,1.5568672951875,"age10M14years"
-0.095046252937634,1.61524458267699,-0.818729770650901,0.867317087156173,1.62773403564385,"age15M19years"
-0.926740503637242,1.46141205752679,-1.42707258227923,-0.0359826189445964,1.49775641897264,"age20M24years"
-0.289814630143295,1.14951384634169,-0.758157243483515,0.38360752589176,1.14423144154567,"age25M29years"
0.562304472305961,0.738561731201115,0.0454965080939669,0.991668906381939,0.809459573937779,"age30M34years"
0.160298152885458,0.344267817640174,-0.064767056302529,0.317223773984475,0.343917585426589,"age35M39years"
0.138166824576443,-0.00512438223859081,0.102743993609987,0.151314373269712,0.0208743755036013,"age40M44years"
0.0920632383390084,-0.320090812788156,0.221059158469558,-0.109191056056712,-0.331327306532449,"age45M49years"
0.462684500620788,-0.393610789687536,0.5537495640792,0.226296764703212,-0.397420402945686,"age50M54years"
-0.215947767220741,-0.501191209729992,0.0628053391087595,-0.520908717191691,-0.518087321868243,"age55M59years"
-0.370735610334157,-0.561783137875218,-0.0386743842889369,-0.704342930112395,-0.568113074574246,"age60M64years"
0.0804490744787147,-0.565793388871801,0.325718036164745,-0.258402242109309,-0.572582915629866,"age65M69years"
-0.279002119446486,-0.540957962750229,0.0395481652761922,-0.575204436534731,-0.540158891318648,"age70M74years"
0.736901737315572,-0.451762856490044,0.782034020694593,0.433896805571379,-0.462333678052695,"age75M79years"
-0.500066882127139,-0.2983280406761,-0.271413969676563,-0.65857003793583,-0.27915477590591,"age80M84years"
-0.167510978358109,-0.0945005284401973,-0.0895724839910881,-0.219248046905934,-0.0937763174816573,"age85M89years"
-0.519696920727611,0.186578600835923,-0.50582789511413,-0.414987304943868,0.182784369236507,"age90Pyears"
0.218259782570134,-1.25649327625907,0.763219289823305,-0.500488434007974,-1.25080483015096,"sexMale"
0.965238828275038,-0.544717555433782,1.03247600529894,0.615129336187286,-0.573804215654852,"racethO"
-0.158986816259905,-0.828203109607445,0.250737982554139,-0.6523896169168,-0.833214391583362,"racethW"
3.59728460510906,0.0719279685617203,2.75542603759055,3.50437312054244,0.0806975275894451,"gradeStart"
0.610281534682722,-1.55331916699462,1.21844889759775,-0.292221811637961,-1.55827924385354,"size_z"
-0.154495531787576,-1.73265802267819,0.687427653312514,-1.15379869414795,-1.73498799173118,"year_z"
0.153030709109535,-1.25236183240407,0.709008295347578,-0.561669400434961,-1.24567255688782,"marryUnmarried"
