"Estimate","Est.Error","Q2.5","Q97.5","logOR","shrinkage","Predictor"
5.00305058347942,-0.160995921479576,4.99852415303406,5.00286870201596,3.59728460510906,5.00284298025156,"gradeStart"
-0.137789866422972,-0.620581652604198,-0.0928686032948067,-0.174014682958882,0.965238828275038,-0.174975725823198,"racethO"
-0.160408910131802,-0.560120495497941,-0.147819191438054,-0.183679909205095,0.736901737315572,-0.184102970609676,"age75M79years"
-0.16977858461489,-1.12269452467105,-0.0282490419834502,-0.202514979041634,0.610281534682722,-0.204581520408656,"size_z"
-0.172855644357417,0.52639204057918,-0.209519787927334,-0.141122008220069,0.562304472305961,-0.140307500206167,"age30M34years"
-0.178529131383695,-0.520827773106291,-0.17783436864299,-0.191612329325823,0.462684500620788,-0.191773002034438,"age50M54years"
-0.210735234484361,0.300451086367452,-0.225660391512359,-0.209876557993069,-2.80548769502007,-0.209685857462609,"Intercept"
-0.189119104749741,-1.00043734198321,-0.150881510138672,-0.204793823263198,0.218259782570134,-0.205430948314521,"sexMale"
-0.207494302711659,1.58577815530172,-0.225033259820715,-0.198321588104109,-0.926740503637242,-0.198001281570201,"age20M24years"
-0.207109821869825,1.90654948973331,-0.224938724310186,-0.194681156883559,-0.860709806804008,-0.194318793744737,"age05M09years"
-0.191072356038979,0.09222105158206,-0.212915758762946,-0.188483417878862,0.160298152885458,-0.188190333891777,"age35M39years"
-0.191304564617704,-0.998603074204813,-0.159048446685653,-0.205322108647051,0.153030709109535,-0.205868505011809,"marryUnmarried"
-0.191771058159131,-0.226542243928983,-0.207415644238396,-0.193848477658412,0.138166824576443,-0.193684351112073,"age40M44years"
-0.204314011751251,-0.0586221060333243,-0.220727984476298,-0.20395582061983,-0.519696920727611,-0.2037534736792,"age90Pyears"
-0.193148506122474,-0.469471072922773,-0.202161738906158,-0.199713688097226,0.0920632383390083,-0.199681527200289,"age45M49years"
-0.204101137794264,-0.45389961624117,-0.217482581552272,-0.206052894931537,-0.500066882127139,-0.205913965568175,"age80M84years"
-0.193479571996139,-0.633900010434262,-0.196271267050403,-0.20206156679434,0.0804490744787147,-0.202127212468745,"age65M69years"
-0.202515794859303,-0.631376735516699,-0.212182668748838,-0.2063579297641,-0.370735610334157,-0.206285562906662,"age60M64years"
-0.202209668475443,1.80061966815971,-0.224000976196064,-0.177729486392793,-0.348608103238598,-0.17717719572418,"age01M04years"
-0.201340855157736,1.08098505600858,-0.222811150565497,-0.185869100881119,-0.289814630143295,-0.185427485608826,"age25M29years"
-0.201171861800909,-0.618190939360219,-0.209724057860018,-0.205431653462311,-0.279002119446486,-0.205377499708604,"age70M74years"
-0.200125103848687,-0.59262357698703,-0.208910447122066,-0.204976369172376,-0.215947767220741,-0.204926478123009,"age55M59years"
-0.197558224684335,1.78628448082023,-0.222656772611466,-0.152164374375352,-0.0841138422258645,-0.151324818941298,"age10M14years"
-0.197792559342988,1.86559132579612,-0.223165406215858,-0.154410067555442,-0.095046252937634,-0.153591107620513,"age15M19years"
-0.199245111003689,-0.299445622622927,-0.21357588466285,-0.201502579321914,-0.167510978358109,-0.201356076339562,"age85M89years"
-0.199082967224149,-0.788383584921998,-0.200622535676869,-0.206009835420597,-0.158986816259905,-0.206070633840314,"racethW"
-0.198996629875879,-1.1881560618319,-0.162045952633843,-0.208362296047257,-0.154495531787576,-0.208909152332328,"year_z"
